container_id,cargo_type,origin_port,destination_market,transit_hour,avg_temp_deviation_c,avg_humidity_deficit_pct,avg_vibration_g,spoilage_risk_index
AVO-001,Avocados,Mombasa,Rotterdam,95,-0.01,-0.22,0.385,5.8
AVO-002,Avocados,Mombasa,Rotterdam,95,0.05,0.59,0.412,7.9
AVO-003,Avocados,Mombasa,Rotterdam,95,0.05,0.01,0.329,5.5
AVO-004,Avocados,Mombasa,Rotterdam,95,6.4,5.18,0.591,83.3
AVO-005,Avocados,Mombasa,Rotterdam,95,3.8,12.73,0.546,71.7
AVO-006,Avocados,Mombasa,Rotterdam,95,0.08,-0.03,0.374,6.4
AVO-007,Avocados,Mombasa,Rotterdam,95,3.94,10.01,0.5,67.0
AVO-008,Avocados,Mombasa,Rotterdam,95,0.03,0.46,0.368,6.8
BAN-001,Bananas,Guayaquil,Hamburg,95,0.03,0.23,0.406,6.8
BAN-002,Bananas,Guayaquil,Hamburg,95,3.94,8.39,0.539,64.3
BAN-003,Bananas,Guayaquil,Hamburg,95,0.06,0.21,0.426,7.4
BAN-004,Bananas,Guayaquil,Hamburg,95,-0.04,-0.59,0.417,6.2
BAN-005,Bananas,Guayaquil,Hamburg,95,0.03,-0.01,0.409,6.4
BAN-006,Bananas,Guayaquil,Hamburg,95,-0.05,-0.21,0.449,6.7
BAN-007,Bananas,Guayaquil,Hamburg,95,-0.01,-0.25,0.366,5.5
BAN-008,Bananas,Guayaquil,Hamburg,95,-0.12,0.42,0.401,6.8
STR-001,Strawberries,Huelva,Paris,95,0.13,0.55,0.436,8.9
STR-002,Strawberries,Huelva,Paris,95,0.02,0.37,0.397,6.9
STR-003,Strawberries,Huelva,Paris,95,0.06,0.08,0.428,7.2
STR-004,Strawberries,Huelva,Paris,95,-0.01,0.76,0.373,7.1
STR-005,Strawberries,Huelva,Paris,95,-0.07,-0.03,0.4,6.0
STR-006,Strawberries,Huelva,Paris,95,-0.01,-0.38,0.387,5.8
STR-007,Strawberries,Huelva,Paris,95,0.06,-0.07,0.445,7.2
STR-008,Strawberries,Huelva,Paris,95,5.29,9.95,0.52,80.6
MAN-001,Mangoes,Karachi,Dubai,95,0.03,-0.01,0.414,6.5
MAN-002,Mangoes,Karachi,Dubai,95,5.81,12.12,0.525,90.2
MAN-003,Mangoes,Karachi,Dubai,95,-0.01,-0.34,0.434,6.5
MAN-004,Mangoes,Karachi,Dubai,95,0.01,-0.23,0.335,5.1
MAN-005,Mangoes,Karachi,Dubai,95,0.0,0.37,0.402,6.8
MAN-006,Mangoes,Karachi,Dubai,95,-0.0,-0.26,0.388,5.8
MAN-007,Mangoes,Karachi,Dubai,95,0.01,0.09,0.366,5.8
MAN-008,Mangoes,Karachi,Dubai,95,-0.01,0.49,0.365,6.5
GRA-001,Grapes,Valparaiso,New York,95,-0.0,-0.36,0.402,6.0
GRA-002,Grapes,Valparaiso,New York,95,-0.05,0.27,0.323,5.4
GRA-003,Grapes,Valparaiso,New York,95,5.04,11.91,0.533,82.2
GRA-004,Grapes,Valparaiso,New York,95,0.04,-0.06,0.441,7.0
GRA-005,Grapes,Valparaiso,New York,95,-0.1,-0.11,0.43,6.5
GRA-006,Grapes,Valparaiso,New York,95,-0.01,0.22,0.403,6.5
GRA-007,Grapes,Valparaiso,New York,95,-0.02,0.21,0.412,6.6
GRA-008,Grapes,Valparaiso,New York,95,0.0,0.16,0.395,6.3
SAL-001,Salmon,Bergen,Boston,95,0.05,-0.57,0.418,6.8
SAL-002,Salmon,Bergen,Boston,95,3.7,10.38,0.595,66.7
SAL-003,Salmon,Bergen,Boston,95,0.01,0.35,0.344,6.0
SAL-004,Salmon,Bergen,Boston,95,0.01,-0.04,0.449,6.9
SAL-005,Salmon,Bergen,Boston,95,0.01,0.24,0.384,6.4
SAL-006,Salmon,Bergen,Boston,95,0.03,-0.04,0.396,6.2
SAL-007,Salmon,Bergen,Boston,95,-0.1,-0.11,0.326,4.9
SAL-008,Salmon,Bergen,Boston,95,0.04,0.37,0.393,7.1
BLU-001,Blueberries,Lima,Miami,95,-0.14,-0.1,0.324,4.9
BLU-002,Blueberries,Lima,Miami,95,-0.03,-0.09,0.355,5.3
BLU-003,Blueberries,Lima,Miami,95,-0.11,-0.17,0.374,5.6
BLU-004,Blueberries,Lima,Miami,95,0.08,-0.39,0.417,7.0
BLU-005,Blueberries,Lima,Miami,95,5.62,9.5,0.572,83.8
BLU-006,Blueberries,Lima,Miami,95,-0.09,-0.76,0.388,5.8
BLU-007,Blueberries,Lima,Miami,95,-0.03,0.23,0.368,6.0
BLU-008,Blueberries,Lima,Miami,95,0.05,-0.18,0.434,7.0
ASP-001,Asparagus,Tangier,Marseille,95,0.09,-0.16,0.414,7.1
ASP-002,Asparagus,Tangier,Marseille,95,0.1,0.42,0.403,7.9
ASP-003,Asparagus,Tangier,Marseille,95,-0.06,-0.32,0.389,5.8
ASP-004,Asparagus,Tangier,Marseille,95,-0.0,-0.22,0.411,6.2
ASP-005,Asparagus,Tangier,Marseille,95,3.85,9.32,0.491,64.5
ASP-006,Asparagus,Tangier,Marseille,95,-0.01,0.02,0.415,6.3
ASP-007,Asparagus,Tangier,Marseille,95,-0.01,0.25,0.412,6.7
ASP-008,Asparagus,Tangier,Marseille,95,6.55,13.87,0.52,100.0
