event_time,container_id,cargo_type,origin_port,destination_market,temperature_c,humidity_pct,vibration_g,transit_hour
2026-08-01T00:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.6,90.2,0.462,0
2026-08-01T00:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.94,88.83,0.457,0
2026-08-01T00:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.22,89.16,0.318,0
2026-08-01T00:15:00,AVO-001,Avocados,Mombasa,Rotterdam,6.01,89.65,0.293,0
2026-08-01T00:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.17,89.17,0.572,0
2026-08-01T00:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.16,89.01,0.808,0
2026-08-01T00:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.73,91.05,0.404,0
2026-08-01T00:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.33,89.58,0.403,0
2026-08-01T00:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.25,87.78,0.125,0
2026-08-01T00:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.23,89.1,0.613,0
2026-08-01T00:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.17,88.9,0.124,0
2026-08-01T00:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.66,91.6,0.342,0
2026-08-01T01:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.45,89.54,0.335,1
2026-08-01T01:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.09,92.78,0.388,1
2026-08-01T01:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.44,91.45,0.384,1
2026-08-01T01:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.44,89.12,0.422,1
2026-08-01T01:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.58,90.35,0.409,1
2026-08-01T01:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.34,90.02,0.549,1
2026-08-01T01:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.58,89.56,0.22,1
2026-08-01T01:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.62,92.06,0.214,1
2026-08-01T01:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.66,89.09,0.278,1
2026-08-01T01:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.64,92.82,0.149,1
2026-08-01T01:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.61,90.76,0.412,1
2026-08-01T01:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.72,88.01,0.419,1
2026-08-01T02:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.5,90.14,0.274,2
2026-08-01T02:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.64,86.61,0.25,2
2026-08-01T02:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.37,88.32,0.233,2
2026-08-01T02:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.2,93.03,0.507,2
2026-08-01T02:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.61,87.0,0.444,2
2026-08-01T02:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.21,89.44,0.442,2
2026-08-01T02:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.43,89.6,0.494,2
